"gene_id","gene_name","transcript_id","transcript_name"
"ENSG00000007372.23","PAX6","ENST00000639409.1","PAX6-256"
"ENSG00000007372.23","PAX6","ENST00000494377.7","PAX6-218"
"ENSG00000007372.23","PAX6","ENST00000638250.1","PAX6-232"
"ENSG00000007372.23","PAX6","ENST00000643871.1","PAX6-282"
"ENSG00000007372.23","PAX6","ENST00000379132.8","PAX6-208"
"ENSG00000007372.23","PAX6","ENST00000638696.1","PAX6-237"
"ENSG00000007372.23","PAX6","ENST00000379129.7","PAX6-207"
"ENSG00000007372.23","PAX6","ENST00000639916.1","PAX6-258"
"ENSG00000007372.23","PAX6","ENST00000379123.10","PAX6-206"
"ENSG00000007372.23","PAX6","ENST00000640038.1","PAX6-262"
"ENSG00000007372.23","PAX6","ENST00000419022.6","PAX6-209"
"ENSG00000007372.23","PAX6","ENST00000638914.3","PAX6-244"
"ENSG00000007372.23","PAX6","ENST00000640610.1","PAX6-272"
"ENSG00000007372.23","PAX6","ENST00000474783.2","PAX6-216"
"ENSG00000007372.23","PAX6","ENST00000638629.1","PAX6-235"
"ENSG00000007372.23","PAX6","ENST00000639548.1","PAX6-257"
"ENSG00000007372.23","PAX6","ENST00000640125.1","PAX6-263"
"ENSG00000007372.23","PAX6","ENST00000481563.6","PAX6-217"
"ENSG00000007372.23","PAX6","ENST00000464174.6","PAX6-213"
"ENSG00000007372.23","PAX6","ENST00000639034.2","PAX6-248"
"ENSG00000007372.23","PAX6","ENST00000640172.1","PAX6-264"
"ENSG00000007372.23","PAX6","ENST00000638685.1","PAX6-236"
"ENSG00000007372.23","PAX6","ENST00000379107.7","PAX6-202"
"ENSG00000007372.23","PAX6","ENST00000640975.1","PAX6-281"
"ENSG00000007372.23","PAX6","ENST00000640872.1","PAX6-279"
"ENSG00000007372.23","PAX6","ENST00000639386.2","PAX6-254"
"ENSG00000007372.23","PAX6","ENST00000640735.1","PAX6-276"
"ENSG00000007372.23","PAX6","ENST00000639109.1","PAX6-252"
"ENSG00000007372.23","PAX6","ENST00000638853.1","PAX6-241"
"ENSG00000007372.23","PAX6","ENST00000640460.1","PAX6-271"
"ENSG00000007372.23","PAX6","ENST00000638913.1","PAX6-243"
"ENSG00000007372.23","PAX6","ENST00000379109.7","PAX6-203"
"ENSG00000007372.23","PAX6","ENST00000525535.2","PAX6-220"
"ENSG00000007372.23","PAX6","ENST00000640251.1","PAX6-266"
"ENSG00000007372.23","PAX6","ENST00000638278.1","PAX6-233"
"ENSG00000007372.23","PAX6","ENST00000640617.1","PAX6-274"
"ENSG00000007372.23","PAX6","ENST00000639054.1","PAX6-249"
"ENSG00000007372.23","PAX6","ENST00000640335.1","PAX6-268"
"ENSG00000007372.23","PAX6","ENST00000638762.1","PAX6-239"
"ENSG00000007372.23","PAX6","ENST00000438681.6","PAX6-211"
"ENSG00000007372.23","PAX6","ENST00000241001.13","PAX6-201"
"ENSG00000007372.23","PAX6","ENST00000638965.1","PAX6-246"
"ENSG00000007372.23","PAX6","ENST00000639943.1","PAX6-260"
"ENSG00000007372.23","PAX6","ENST00000640431.1","PAX6-270"
"ENSG00000007372.23","PAX6","ENST00000532916.5","PAX6-226"
"ENSG00000007372.23","PAX6","ENST00000638802.1","PAX6-240"
"ENSG00000007372.23","PAX6","ENST00000638346.1","PAX6-234"
"ENSG00000007372.23","PAX6","ENST00000530373.6","PAX6-222"
"ENSG00000007372.23","PAX6","ENST00000379115.9","PAX6-205"
"ENSG00000007372.23","PAX6","ENST00000639203.1","PAX6-253"
"ENSG00000007372.23","PAX6","ENST00000524853.6","PAX6-219"
"ENSG00000007372.23","PAX6","ENST00000606377.6","PAX6-231"
"ENSG00000007372.23","PAX6","ENST00000639394.1","PAX6-255"
"ENSG00000007372.23","PAX6","ENST00000640368.1","PAX6-269"
"ENSG00000007372.23","PAX6","ENST00000638963.1","PAX6-245"
"ENSG00000007372.23","PAX6","ENST00000638878.1","PAX6-242"
"ENSG00000007372.23","PAX6","ENST00000423822.7","PAX6-210"
"ENSG00000007372.23","PAX6","ENST00000639061.1","PAX6-250"
"ENSG00000007372.23","PAX6","ENST00000639950.1","PAX6-261"
"ENSG00000007372.23","PAX6","ENST00000471303.6","PAX6-215"
"ENSG00000007372.23","PAX6","ENST00000531910.6","PAX6-224"
"ENSG00000007372.23","PAX6","ENST00000638755.1","PAX6-238"
"ENSG00000007372.23","PAX6","ENST00000639006.1","PAX6-247"
"ENSG00000007372.23","PAX6","ENST00000640684.1","PAX6-275"
"ENSG00000007372.23","PAX6","ENST00000639079.1","PAX6-251"
"ENSG00000007372.23","PAX6","ENST00000640819.1","PAX6-278"
"ENSG00000007372.23","PAX6","ENST00000640287.1","PAX6-267"
"ENSG00000007372.23","PAX6","ENST00000533333.5","PAX6-228"
"ENSG00000007372.23","PAX6","ENST00000640613.1","PAX6-273"
"ENSG00000007372.23","PAX6","ENST00000534353.5","PAX6-229"
