gene,transcript
ENSG00000007372.25,ENST00000606377.7
ENSG00000007372.25,ENST00000639386.2
ENSG00000007372.25,ENST00000419022.6
ENSG00000007372.25,ENST00000643871.1
ENSG00000007372.25,ENST00000638914.3
ENSG00000007372.25,ENST00000640610.1
ENSG00000007372.25,ENST00000379132.8
ENSG00000007372.25,ENST00000379109.7
ENSG00000007372.25,ENST00000379129.7
ENSG00000007372.25,ENST00000639916.1
ENSG00000007372.25,ENST00000640368.2
ENSG00000007372.25,ENST00000638685.1
ENSG00000007372.25,ENST00000379107.7
ENSG00000007372.25,ENST00000639409.1
ENSG00000007372.25,ENST00000640975.1
ENSG00000007372.25,ENST00000638963.1
ENSG00000007372.25,ENST00000638965.1
ENSG00000007372.25,ENST00000241001.13
ENSG00000007372.25,ENST00000474783.2
ENSG00000007372.25,ENST00000638629.1
ENSG00000007372.25,ENST00000639548.1
ENSG00000007372.25,ENST00000640125.1
ENSG00000007372.25,ENST00000481563.6
ENSG00000007372.25,ENST00000638696.1
ENSG00000007372.25,ENST00000638755.1
ENSG00000007372.25,ENST00000470027.7
ENSG00000007372.25,ENST00000640287.1
ENSG00000007372.25,ENST00000533333.5
ENSG00000007372.25,ENST00000640613.1
ENSG00000007372.25,ENST00000423822.7
ENSG00000007372.25,ENST00000639061.1
ENSG00000007372.25,ENST00000640766.1
ENSG00000007372.25,ENST00000640963.1
ENSG00000007372.25,ENST00000471303.6
ENSG00000007372.25,ENST00000379111.7
ENSG00000007372.25,ENST00000639950.1
ENSG00000007372.25,ENST00000464174.6
ENSG00000007372.25,ENST00000494377.7
ENSG00000007372.25,ENST00000638250.1
ENSG00000007372.25,ENST00000379123.10
ENSG00000007372.25,ENST00000640038.1
ENSG00000007372.25,ENST00000524853.6
ENSG00000007372.25,ENST00000640872.1
ENSG00000007372.25,ENST00000639394.1
ENSG00000007372.25,ENST00000640735.1
ENSG00000007372.25,ENST00000639109.1
ENSG00000007372.25,ENST00000638853.1
ENSG00000007372.25,ENST00000640460.1
ENSG00000007372.25,ENST00000638913.1
ENSG00000007372.25,ENST00000638802.1
ENSG00000007372.25,ENST00000638346.1
ENSG00000007372.25,ENST00000530373.6
ENSG00000007372.25,ENST00000379115.9
ENSG00000007372.25,ENST00000639006.1
ENSG00000007372.25,ENST00000639054.1
ENSG00000007372.25,ENST00000640335.1
ENSG00000007372.25,ENST00000638762.1
ENSG00000007372.25,ENST00000438681.6
ENSG00000007372.25,ENST00000638878.1
ENSG00000007372.25,ENST00000639943.1
ENSG00000007372.25,ENST00000640431.1
ENSG00000007372.25,ENST00000532916.5
ENSG00000007372.25,ENST00000639034.2
ENSG00000007372.25,ENST00000531910.6
ENSG00000007372.25,ENST00000640172.1
ENSG00000007372.25,ENST00000640684.1
ENSG00000007372.25,ENST00000639079.1
ENSG00000007372.25,ENST00000640242.1
ENSG00000007372.25,ENST00000455099.6
ENSG00000007372.25,ENST00000530714.6
ENSG00000007372.25,ENST00000534353.5
ENSG00000007372.25,ENST00000533156.2
ENSG00000007372.25,ENST00000639920.1
ENSG00000007372.25,ENST00000534390.2
ENSG00000007372.25,ENST00000527769.5
ENSG00000007372.25,ENST00000532175.5
ENSG00000007372.25,ENST00000640251.1
ENSG00000007372.25,ENST00000638278.1
ENSG00000007372.25,ENST00000640617.1
ENSG00000007372.25,ENST00000639203.1
ENSG00000007372.25,ENST00000640819.1
ENSG00000176165.10,ENST00000706482.1
ENSG00000176165.10,ENST00000313071.7
ENSG00000026025.16,ENST00000544301.7
ENSG00000026025.16,ENST00000478746.1
ENSG00000026025.16,ENST00000497849.1
ENSG00000026025.16,ENST00000224237.9
ENSG00000026025.16,ENST00000487938.5
ENSG00000026025.16,ENST00000485947.1
